timestamp	commit	branch	pade_m	pade_n	max_order	interval	enable_pade	pade_only_single_step	pade_denom_threshold	total_images	batch_size	seed	cfg_scale	num_sampling_steps	lpips	relative_l1	ssim	rmse	psnr	cosine	approx_total_steps	pade_steps	taylor_steps	mixed_steps	pade_calls	taylor_calls	pade_step_ratio	pade_call_ratio	status	comparison_bucket	bucket_best	paired_control_scope	paired_control_timestamp	paired_outcome	paired_control_lpips	paired_control_relative_l1	paired_control_ssim	paired_control_rmse	paired_delta_lpips	paired_delta_relative_l1	paired_delta_ssim	paired_delta_rmse	latency_baseline_timestamp	latency_baseline_sample_seconds	sample_seconds_budget	sample_seconds_ratio	latency_within_budget	pade_target_file	pade_code_sha256	pade_snapshot_file	description	sample_seconds	eval_seconds	total_seconds	artifact_dir
20260320-000352	5093e78	autoresearch/pade-20260319	1	2	4	4		true	0.0001						0.086715	1.073108	0.859844	6.626436	25.793539	0.990551	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																						agent candidate [1/2] max_order4 single-step threshold1e-4 100img	1180.833	16.152	1196.988	/home/yjs/autoresearch/runs/20260320-000352-m1-n2-k4-i4
20260325-163603	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.084598	1.073272	0.864196	6.509303	26.159115	0.991056	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	7baf5f333d00273ef174aed6fb9b962254d9fed7a507c2d7a89aeac131feba45	/home/yjs/autoresearch/runs/20260325-163603-m1-n2-k3-i4/pade_target_snapshot.py	baseline fixed-parameter Padé code	1071.099	15.332	1086.432	/home/yjs/autoresearch/runs/20260325-163603-m1-n2-k3-i4
20260325-170114	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.084306	1.070833	0.863911	6.513626	26.161301	0.991029	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	1a2883b392c8a31745870b124f7af9bfa56b4ad892abe7eb4b926fb30d030670	/home/yjs/autoresearch/runs/20260325-170114-m1-n2-k3-i4/pade_target_snapshot.py	validate [1/2] solve and blend toward Taylor near weak denominators	1733.293	15.477	1748.772	/home/yjs/autoresearch/runs/20260325-170114-m1-n2-k3-i4
20260325-174844	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.084306	1.070833	0.863911	6.513626	26.161301	0.991029	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	9a02daf13da8c272da2178adb7d51f298e5d6d5922424b87891bddf55071bce7	/home/yjs/autoresearch/runs/20260325-174844-m1-n2-k3-i4/pade_target_snapshot.py	blend toward Taylor using scaled denominator margin only	1176.332	15.171	1191.503	/home/yjs/autoresearch/runs/20260325-174844-m1-n2-k3-i4
20260325-181430	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.084837	1.072620	0.863284	6.531187	26.112723	0.990967	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	1464a286869fa61b37d3319b039b4023960b9d9474e6a7bc4fecf4189104e400	/home/yjs/autoresearch/runs/20260325-181430-m1-n2-k3-i4/pade_target_snapshot.py	explicit [1/2] coeff solve with determinant guard fallback	998.559	15.285	1013.845	/home/yjs/autoresearch/runs/20260325-181430-m1-n2-k3-i4
20260325-184720	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085068	1.074240	0.863073	6.514245	26.106460	0.990915	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	6f6152a0fe9ae69e4350488120fb5cef2cdbcb663690ef0a6579643df046f598	/home/yjs/autoresearch/runs/20260325-184720-m1-n2-k3-i4/pade_target_snapshot.py	regularize [1/2] Padé solve with tiny scaled diagonal damping	1352.747	15.448	1368.196	/home/yjs/autoresearch/runs/20260325-184720-m1-n2-k3-i4
20260325-191907	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085094	1.074146	0.863025	6.515325	26.103637	0.990907	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	e55c91a109f182442ae181830a6d124639e541f78d7ddb7866d074642b44bb91	/home/yjs/autoresearch/runs/20260325-191907-m1-n2-k3-i4/pade_target_snapshot.py	square Padé safety blend to favor Taylor unless margin is strong	1213.703	15.225	1228.930	/home/yjs/autoresearch/runs/20260325-191907-m1-n2-k3-i4
20260325-195430	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085073	1.074280	0.863058	6.514294	26.105817	0.990910	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	63fde0b43ee89414d597a9d50357c80a2c6658960debdebb525293fe4254f91d	/home/yjs/autoresearch/runs/20260325-195430-m1-n2-k3-i4/pade_target_snapshot.py	require denom margin to exceed local pole risk before Padé blend	1219.043	14.961	1234.006	/home/yjs/autoresearch/runs/20260325-195430-m1-n2-k3-i4
20260325-204050	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085093	1.074129	0.863016	6.515484	26.104462	0.990905	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	3a3edb3b909a24a0ef0c7f6fce527c2e4282ffb0457c0b2f44f70dfae499121a	/home/yjs/autoresearch/runs/20260325-204050-m1-n2-k3-i4/pade_target_snapshot.py	correction-ratio guard fallback when Padé deviates too far from local Taylor	1513.970	15.411	1529.384	/home/yjs/autoresearch/runs/20260325-204050-m1-n2-k3-i4
20260325-211143	20ff29e	autoresearch/pade-code-20260325	1	2	3	4		true	0.001						0.085093	1.074129	0.863016	6.515484	26.104462	0.990905	9300	3000	6300	0	168000	352800	0.322581	0.322581	discard																			/home/yjs/TaylorSeer/TaylorSeer-DiT/taylor_utils/__init__.py	7dd9d6174125af251d2dc7da5b12d5f686f8cb06715cc3de67fcb38ac6f35366	/home/yjs/autoresearch/runs/20260325-211143-m1-n2-k3-i4/pade_target_snapshot.py	restore solve-residual gate and keep correction-ratio fallback	1804.100	15.420	1819.521	/home/yjs/autoresearch/runs/20260325-211143-m1-n2-k3-i4
